2/5/69,,,,,,,,,,,,,,,,,
,ที่มา,รายการปลา, จำนวนปลา , ปลาเข้าใหม่ , ยอดรวม , ยอดขายไป , สินค้าคงเหลือ , ราคาต้นทุน ,ล๊อต, มูลค่าสินค้าคงเหลือ ,,,มูลค้าสินค้า ขายออก,,มูลค้าสินค้ารับเข้าสต๊อค,,
,,, -  ,, -  ,, -  ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
22/9/68,R3,โอดำ 5/7ขีด, 260.0 ,, 260.0 ,, 260.0 , 570.0 ,หนู/2," 148,200.00 ",,, -  ,, -  ,,
19/4/69,R2,โอดำ 5/7ขีด, 400.0 ,, 400.0 ,, 400.0 , 550.0 ,หนู/1," 220,000.00 ",,, -  ,, -  ,,
24/4/69,R3,โอดำ 5/7ขีด, 200.0 ,, 200.0 ,, 200.0 , 550.0 ,หนู/3," 110,000.00 ",,, -  ,, -  ,,
1/9/68,R2+3,โอดำ 7-8ขีด, 183.0 ,, 183.0 ,, 183.0 , 520.0 ,มล/1," 95,160.00 ",,, -  ,, -  ,,
9/12/68,R2,โอดำ M8 UP, 174.0 ,, 174.0 ,, 174.0 , 530.0 ,ซี/1," 92,220.00 ",,, -  ,, -  ,,
5/12/68,R2,โอดำ M3/2, 17.0 ,, 17.0 ,, 17.0 , 500.0 ,ซี/2," 8,500.00 ",,, -  ,, -  ,,
9/12/68,R2,โอดำ M3/2, 267.0 ,, 267.0 ,, 267.0 , 500.0 ,ซี/3," 133,500.00 ",,, -  ,, -  ,,
25/9/68,R2,โอดำ 3/2, 92.0 ,, 92.0 ,, 92.0 , 520.0 ,มล/1," 47,840.00 ",,, -  ,, -  ,,
22/4/69,R2,โอดำ 2/3M, 14.0 ,, 14.0 ,, 14.0 , 520.0 ,ซี/1," 7,280.00 ",,, -  ,, -  ,,
27/4/69,R2,โอดำ C2, 66.0 ,, 66.0 ,, 66.0 , 380.0 ,ซี/1," 25,080.00 ",,, -  ,, -  ,,
27/4/69,R2,โอดำ C3, 39.0 ,, 39.0 ,, 39.0 , 380.0 ,ซี/1," 14,820.00 ",,, -  ,, -  ,,
25/3/69,R2,โอดำ 6-7, 187.0 ,, 187.0 ,, 187.0 , 430.0 ,สยามชัย/1," 80,410.00 ",,, -  ,, -  ,,
25/3/69,R2,โอดำ 8-9, 31.0 ,, 31.0 ,, 31.0 , 380.0 ,สยามชัย/2," 11,780.00 ",,, -  ,, -  ,,
23/3/69,R2,โอดำ 8-9, 72.0 ,, 72.0 ,, 72.0 , 380.0 ,สยามชัย/1," 27,360.00 ",,, -  ,, -  ,,
21/8/68,รั้วR3,โอลาย จัมโบ้, 10.0 ,, 10.0 ,, 10.0 , 480.0 ,ซี/2," 4,800.00 ",,, -  ,, -  ,,
25/8/68,R2,โอลาย ใหญ่, 5.0 ,, 5.0 ,, 5.0 , 520.0 ,หนู/1," 2,600.00 ",,, -  ,, -  ,,
26/8/68,R2,โอลาย ใหญ่, 205.0 ,, 205.0 ,, 205.0 , 520.0 ,หนู/2," 106,600.00 ",,, -  ,, -  ,,
